wavelength(nm),countrate,irradiance (watts/m^2)
179.99952168834963,176293.3997834597,0.0019455455198100632
180.03388124598246,185425.11988926673,0.0020459311682030764
180.06824003233297,183698.04751766036,0.002026488366026865
180.10259804725396,186694.78691380302,0.0020591543796414486
180.1369552905984,197997.54738337363,0.002183401915854072
180.17131176221912,185941.8372183683,0.002050067551093029
180.20566746196903,184102.73500549776,0.0020294038937866566
180.24002238970084,184856.80858974476,0.002037327806429639
180.27437654526761,187757.24331616884,0.002068899488853834
180.30872992852215,196413.1489327412,0.0021638666746166034
180.34308253931735,189501.766373065,0.0020873268909641415
180.3774343775061,182202.32057897767,0.0020065426390214517
180.41178544294127,187420.63459039124,0.002063617460597791
180.4461357354757,196955.97419365298,0.002168194642331506
180.4804852549624,202614.39219430354,0.0022300609629568877
180.51483400125417,203570.30826511641,0.002240155842772635
180.549181974204,200877.4471034495,0.002210102163308703
180.58352917366474,195181.25167047963,0.0021470228021906778
180.6178755994893,197042.74982984655,0.0021670873855639487
180.65222125153062,197861.52455632796,0.0021756785973461737
180.68656612964153,186784.49018091915,0.002053485503484123
180.720910233675,181371.90514560297,0.001993601280432672
180.75525356348408,208766.84670837657,0.0022942846378069355
180.78959611892148,310592.8246404243,0.0034126730133052026
180.8239378998403,388144.867352552,0.004263974699316036
180.8582789060934,312394.5635555663,0.003431166303279717
180.8926191375337,199209.06685257182,0.0021875850590483774
180.92695859401414,180895.4003593058,0.0019860991969325227
180.96129727538772,194295.06961710853,0.002132812972345481
180.99563518150725,198429.66873732483,0.0021777859919137423
181.02997231222585,208409.70040346554,0.0022868840139017893
181.06430866739635,218088.6042662485,0.0023926370122491474
181.09864424687183,219373.30468118656,0.002406275076882536
181.1329790505051,192168.8232664109,0.0021074733681162795
181.1673130781492,187194.8369538111,0.0020525356891328127
181.20164632965708,195138.73599460642,0.0021392327697172288
181.2359788048817,197113.8410233196,0.002160475757603037
181.2703105036761,206871.90583512658,0.0022670000575055406
