wavelength(nm),countrate,irradiance (watts/m^2)
177.76506748890495,140573.99343801237,0.001570851947401284
177.79947764507497,138349.54374589474,0.0015456955082000646
177.8338870397914,140077.76567647068,0.0015647010678441306
177.86829567290698,145778.2909668588,0.0016280622452132833
177.90270354427432,153350.68347285554,0.001712300022103038
177.937110653746,169685.64002565746,0.001894328315792847
177.97151700117476,166355.73475990168,0.0018567950465844406
178.00592258641325,158631.95564940255,0.0017702431410693694
178.04032740931402,163462.63658360942,0.0018237983132373347
178.07473146972987,175156.65905443256,0.0019538942240870105
178.10913476751327,178483.2733679627,0.0019906184395334743
178.14353730251702,172350.6974847701,0.0019218507963366777
178.1779390745938,156578.0191848991,0.0017456354693522825
178.21234008359622,143928.51634886503,0.0016043006890905799
178.24674032937696,146987.93266600207,0.0016380863055195894
178.28113981178873,151695.8175935853,0.0016902264723397257
178.31553853068414,150792.44646667747,0.0016798368040248193
178.34993648591595,158207.24030135098,0.0017620981299501916
178.38433367733677,169892.5259405684,0.001891882923893985
178.41873010479938,168994.05301727765,0.0018815149447436001
178.45312576815638,162045.548394682,0.0018038052217691255
178.48752066726055,161913.98616233002,0.0018019934260428236
178.5219148019645,164753.9360617856,0.0018332468899104556
178.55630817212102,162310.72511924442,0.001805712957229337
178.59070077758275,164040.79924910833,0.0018246086505604902
178.62509261820244,172502.72533080922,0.0019183603437956025
178.65948369383273,170947.8616058277,0.001900703140578575
178.69387400432643,158215.8914984621,0.001758802737043549
178.72826354953622,156267.78149935618,0.0017368123755503928
178.7626523293148,164064.41700461207,0.001823116007120589
178.79704034351494,166500.8299450933,0.0018498340591641853
178.8314275919893,165326.09153740885,0.0018364294536391797
178.86581407459067,159968.21873966846,0.0017765730093240637
178.90019979117176,167350.44507667763,0.001858201218354187
178.93458474158533,186267.3045677634,0.0020678500113726194
178.96896892568407,192375.50586371933,0.002135250012802034
179.00335234332076,182455.70648224698,0.002024757334345165
179.03773499434817,169671.56589210185,0.0018825268854666228
179.07211687861906,176829.61544297906,0.0019615696312395405
179.1064979959861,190296.07458780857,0.002110547747500022
179.14087834630215,187953.7545106237,0.002084169329459993
179.1752579294199,185649.97794471064,0.002058228360037197
179.20963674519214,182173.9565002148,0.0020193036271173065
179.2440147934716,171739.39542417365,0.001903276832315491
179.27839207411105,155805.45548171474,0.001726360164718107
179.3127685869634,146458.66403896754,0.0016224844624854442
179.34714433188125,146782.01598226765,0.0016257549185727973
179.38151930871751,144649.17940826732,0.001601824642423104
179.41589351732486,142994.96117743824,0.0015832026794925778
179.45026695755618,138991.2295970502,0.0015385796450815873
179.4846396292642,150925.58430168647,0.0016703684284641166
179.51901153230176,156833.5746712871,0.0017354227540486147
179.55338266652154,152782.16004833847,0.0016902686978181294
179.5877530317765,163982.40558671058,0.0018138327152642754
179.6221226279193,169663.2663963084,0.001876310435549498
179.6564914548029,166409.622963289,0.001839976248634797
179.69085951228,163225.44551231075,0.0018044239006797123
179.72522680020342,154426.59949014,0.0017068280140782048
179.75959331842606,162593.4765772858,0.0017967503358920364
179.79395906680065,168673.80755409345,0.0018635851762513185
179.82832404518,171453.6350312636,0.0018939359803137356
179.86268825341702,172014.83132226832,0.0018997721120290526
179.89705169136448,166575.05063946726,0.0018393424860059502
179.93141435887526,172982.44317753363,0.0019097289306359516
179.96577625580215,177812.71610776553,0.001962680403415164
180.00013738199803,176991.49603015688,0.0019532429162448144
180.03449773731572,184767.52754428345,0.0020386684891592834
180.06885732160808,184132.97599961964,0.002031279371472318
180.1032161347279,186710.41950488067,0.0020593197323551574
180.13757417652806,197831.29207134643,0.00218156105380662
180.1719314468615,187301.01171894209,0.002065045777181997
180.20628794558104,184091.95043954308,0.002029278026001445
180.24064367253942,185302.4246233745,0.0020422319516412075
180.2749986275897,188511.5630486944,0.00207720417980976
180.3093528105846,195553.43510440254,0.0021543878393246647
180.34370622137712,191214.29169664366,0.0021061827566853614
180.37805885982002,182747.46958846343,0.0020125392433372902
180.41241072576625,186677.03912911375,0.002055422889432973
180.44676181906863,196709.23251367232,0.002165470867123698
180.4811121395801,203309.8167120012,0.0022377073311776164
180.51546168715353,204215.57733748393,0.0022472487855995254
180.54981046164184,202126.69385204298,0.002223838936464511
180.5841584628979,195725.43630185397,0.002153001411403977
180.6185056907746,196857.41812114653,0.0021650415440584896
180.65285214512488,198483.2707487343,0.002182507675346633
